,budget,high_margin,low_margin,high_degree,low_degree,other,total,time
0,1,"(0.26, 0.1919821420266553)","(0.72, 0.18973665961010278)","(0.16666666666666669, 0.11126972805283736)","(0.35333333333333333, 0.21336309316235907)","(0.3333333333333333, 0.14474937289114917)","(0.3666666666666667, 0.08673989580239029)","(0.3321391029283404, 0.02788104841076683)"
1,2,"(0.30666666666666664, 0.17511900715418263)","(0.8733333333333333, 0.1334523278535216)","(0.2, 0.09999999999999999)","(0.4666666666666667, 0.19148542155126763)","(0.5, 0.11338934190276816)","(0.4693333333333333, 0.07666873703208656)","(0.6233656617812813, 0.05656167625929975)"
2,3,"(0.46, 0.19198214202665534)","(0.8733333333333333, 0.11629191512658792)","(0.32, 0.101418510567422)","(0.6866666666666666, 0.19952324127660873)","(0.6, 0.2104417123236605)","(0.588, 0.0758946638440411)","(0.9104289987434944, 0.09901221484578485)"
3,4,"(0.5533333333333333, 0.17674302033770736)","(0.9266666666666666, 0.10327955589886446)","(0.2866666666666667, 0.1505545305418162)","(0.78, 0.14735767952260148)","(0.6866666666666666, 0.14074631010979938)","(0.6466666666666667, 0.09216961590045873)","(1.2110210669847825, 0.13058720439195218)"
4,5,"(0.6333333333333333, 0.19148542155126763)","(0.9066666666666667, 0.10997835284835873)","(0.33333333333333337, 0.14960264830861913)","(0.8866666666666667, 0.16417180315870614)","(0.8, 0.14638501094227999)","(0.712, 0.08969790569302209)","(1.490205737731109, 0.16030771953973622)"
