,budget,high_margin,low_margin,high_degree,low_degree,other,total,time
0,1,"(0.18, 0.161245154965971)","(0.78, 0.152127765851133)","(0.060000000000000005, 0.07367883976130073)","(0.3, 0.253546276418555)","(0.26666666666666666, 0.14960264830861913)","(0.31733333333333336, 0.07085867893880313)","(16.521187035180628, 0.35148970578311584)"
1,2,"(0.31333333333333335, 0.21668498091095506)","(0.7666666666666667, 0.14960264830861913)","(0.05333333333333334, 0.07432233529572066)","(0.5133333333333333, 0.28502297317601477)","(0.3666666666666667, 0.12344267996967352)","(0.4026666666666667, 0.10053191864610297)","(17.21407307656482, 0.38780853281171956)"
2,3,"(0.3, 0.20701966780270625)","(0.86, 0.10555973258234953)","(0.08666666666666667, 0.0833809387832792)","(0.5333333333333333, 0.2663688813513714)","(0.5533333333333333, 0.19591057240729093)","(0.4666666666666667, 0.09759000729485333)","(17.739949956877776, 0.4891425147532948)"
3,4,"(0.24, 0.19566735620873066)","(0.9, 0.09999999999999999)","(0.08, 0.09411239481143202)","(0.49333333333333335, 0.19444671200491873)","(0.5066666666666667, 0.20862360730226462)","(0.444, 0.0681175454637056)","(18.51838799364244, 0.36484730244672897)"
4,5,"(0.37333333333333335, 0.16242214252050852)","(0.8733333333333333, 0.14375905768565217)","(0.09333333333333334, 0.1279880946844369)","(0.6, 0.21712405933672377)","(0.5866666666666667, 0.1995232412766087)","(0.5053333333333333, 0.08959166627910582)","(18.90778090565776, 0.6895549701223768)"
