,budget,high_margin,low_margin,high_degree,low_degree,other,total,time,time_defense
0,1,"(0.0, 0.0)","(0.6466666666666666, 0.12459458063579462)","(0.013333333333333334, 0.035186577527449844)","(0.26, 0.2197401062294143)","(0.18, 0.10141851056742199)","(0.22, 0.05503245795502349)","(0.04050010104353229, 0.004201348868971836)","(1.0064322853460907, 0.47673786909830046)"
1,2,"(0.0, 0.0)","(0.76, 0.12983506020002017)","(0.02, 0.056061191058138816)","(0.8200000000000001, 0.21447610589527216)","(0.3333333333333333, 0.13972762620115436)","(0.38666666666666666, 0.07037315505489967)","(0.05253226005006582, 0.004560130597161024)","(0.9607743201777339, 0.3413191041068693)"
2,3,"(0.0, 0.0)","(0.74, 0.145405835999994)","(0.02, 0.056061191058138816)","(0.8666666666666667, 0.10465362369445672)","(0.4066666666666667, 0.12227992865708154)","(0.4066666666666667, 0.04577377082170635)","(0.06148525509828081, 0.004344140057495283)","(0.943909187715811, 0.3529949838674283)"
3,4,"(0.0, 0.0)","(0.7733333333333333, 0.14375905768565217)","(0.026666666666666665, 0.07988086367179802)","(0.8933333333333333, 0.10997835284835873)","(0.44, 0.11832159566199231)","(0.4266666666666667, 0.05327377627027427)","(0.07181060835719108, 0.003983140120963941)","(0.9492245655196409, 0.3473308728017451)"
4,5,"(0.0, 0.0)","(0.7333333333333333, 0.15430334996209194)","(0.04, 0.050709255283711)","(0.6866666666666666, 0.3204163957519444)","(0.48666666666666664, 0.15522640914238173)","(0.38933333333333336, 0.08971913847961208)","(0.08327571840491146, 0.0025891054310468392)","(0.931449630856514, 0.36698455322310986)"
