,budget,high_margin,low_margin,high_degree,low_degree,other,total,time,time_defense
0,1,"(0.0, 0.0)","(0.8866666666666667, 0.08338093878327918)","(0.013333333333333334, 0.051639777949432225)","(0.09333333333333334, 0.1667618775665584)","(0.26666666666666666, 0.11751393027860063)","(0.252, 0.04828486896977739)","(23.689543192693964, 1.2993224519649191)","(1.4117612610493475, 0.5910533349117816)"
1,2,"(0.0, 0.0)","(0.96, 0.06324555320336757)","(0.03333333333333333, 0.06172133998483677)","(0.7266666666666667, 0.20862360730226462)","(0.5133333333333333, 0.10600988273786191)","(0.44666666666666666, 0.0527347359996462)","(31.216743935334186, 0.4451039015345884)","(1.3400004079798236, 0.4929822857713868)"
2,3,"(0.02, 0.056061191058138816)","(0.96, 0.06324555320336757)","(0.04666666666666667, 0.0833809387832792)","(0.98, 0.056061191058138796)","(0.66, 0.11832159566199232)","(0.5333333333333333, 0.04320493798938574)","(38.7272870517103, 0.6337741285768321)","(1.3592999797314405, 0.5182671660191009)"
3,4,"(0.04, 0.09102589898327995)","(0.9866666666666667, 0.03518657752744983)","(0.08, 0.15675276256394519)","(0.9933333333333333, 0.025819888974716106)","(0.74, 0.09856107606091626)","(0.5680000000000001, 0.045856920337688845)","(46.12190884926046, 0.7252133496411965)","(1.3553487568550433, 0.4942890418830838)"
4,5,"(0.05333333333333333, 0.11254628677422755)","(0.9933333333333333, 0.025819888974716106)","(0.12000000000000001, 0.15212776585113297)","(0.9933333333333333, 0.025819888974716106)","(0.84, 0.08280786712108251)","(0.6, 0.050142653642240693)","(53.523351654969154, 0.8907932573360843)","(1.0009926416057473, 0.39539078692848945)"
