,budget,high_margin,low_margin,other,total,time,time_defense
0,1,"(0.04666666666666667, 0.06399404734221845)","(0.8733333333333334, 0.13345232785352157)","(0.22333333333333333, 0.0942388050696335)","(0.3416666666666667, 0.04970148986940025)","(86.6750198075897, 4.8757957656148765)","(5.9724404151997685, 1.6297430027433197)"
1,2,"(0.08666666666666667, 0.11872336794093274)","(0.9, 0.11338934190276816)","(0.26666666666666666, 0.09574271077563382)","(0.38, 0.07745966692414834)","(81.74185095314266, 4.7859433525417465)","(5.527295476733707, 1.356575329225747)"
2,3,"(0.06666666666666667, 0.08997354108424374)","(0.9333333333333333, 0.11126972805283736)","(0.39666666666666667, 0.11412190641506793)","(0.4483333333333333, 0.08316649966583099)","(80.06756988792719, 4.321171072326679)","(5.373309399332114, 1.078005118606539)"
3,4,"(0.12000000000000001, 0.101418510567422)","(0.9533333333333334, 0.06399404734221843)","(0.39, 0.13120322295692938)","(0.4633333333333333, 0.07898161329129229)","(77.71864806580028, 3.2855958809485752)","(5.470329649201206, 1.4974169365057852)"
4,5,"(0.15333333333333335, 0.1505545305418162)","(0.9400000000000001, 0.08280786712108248)","(0.38666666666666666, 0.14074631010979938)","(0.4666666666666667, 0.09338221509065897)","(75.87466883132292, 2.4570241571029343)","(5.4703976885299195, 1.1606950561194187)"
