,budget,high_margin,low_margin,other,total,time,time_defense
0,1,"(0.013333333333333334, 0.035186577527449844)","(0.9333333333333333, 0.08997354108424373)","(0.2966666666666667, 0.10082988974836117)","(0.385, 0.06394752312862254)","(14.107998061597998, 1.4032326273176214)","(6.064286284866587, 1.8711242714014564)"
1,2,"(0.49333333333333335, 0.19444671200491873)","(0.98, 0.04140393356054124)","(0.48, 0.11464230084422217)","(0.6083333333333334, 0.07049991556901396)","(20.205750317066606, 1.676392337665864)","(5.813942694333431, 1.533980496268423)"
2,3,"(0.6866666666666666, 0.24746332099544618)","(0.98, 0.04140393356054124)","(0.56, 0.10889050857234002)","(0.6966666666666667, 0.081758937184407)","(26.52111046833355, 2.1259485933579048)","(5.563322572001198, 1.5976250957394513)"
3,4,"(0.78, 0.2396425910153941)","(0.9866666666666667, 0.03518657752744983)","(0.66, 0.1137038760490223)","(0.7716666666666666, 0.04711940253481675)","(33.367814131197036, 2.2539248005769372)","(5.848725570933311, 1.5027699191000796)"
4,5,"(0.7866666666666666, 0.2133630931623591)","(0.9866666666666667, 0.03518657752744983)","(0.72, 0.12218253323847657)","(0.8033333333333333, 0.0737192227951693)","(39.055009656675004, 2.277587043051952)","(5.750994425533766, 1.3506548024175786)"
