,budget,high_margin,low_margin,other,total,time,time_defense
0,1,"(0.02666666666666667, 0.04577377082170635)","(0.9266666666666666, 0.07037315505489966)","(0.2833333333333333, 0.12488089563755578)","(0.38, 0.05361902647381805)","(134.87679896626506, 10.258294625007416)","(5.453292216399374, 1.2870458826768647)"
1,2,"(0.11333333333333334, 0.0990430401872025)","(0.92, 0.06761234037828132)","(0.39, 0.11370387604902231)","(0.4533333333333333, 0.06040537661342344)","(135.89438838141697, 6.940087840471984)","(6.007946226528535, 1.6768118974605122)"
2,3,"(0.23333333333333334, 0.14960264830861913)","(0.9733333333333334, 0.04577377082170634)","(0.49333333333333335, 0.13998299216418433)","(0.5483333333333333, 0.08476157035782082)","(136.89310505047325, 4.616103751934941)","(5.422622704597113, 1.2289859961076202)"
3,4,"(0.22, 0.14242792663559448)","(0.9666666666666667, 0.06172133998483675)","(0.51, 0.10212037714663724)","(0.5516666666666666, 0.06844358121492336)","(137.0472471052218, 3.8176302397421122)","(5.685929508202632, 1.1963448104328234)"
4,5,"(0.15333333333333335, 0.12459458063579461)","(0.98, 0.04140393356054124)","(0.56, 0.13912994953331528)","(0.5633333333333334, 0.07841434514047492)","(199.53127094542143, 272.85555738178374)","(5.912925113002227, 1.6451233228155466)"
