,budget,high_margin,low_margin,other,total,time,time_defense
0,1,"(0.4866666666666667, 0.3739111175259754)","(0.5533333333333333, 0.14573295865416044)","(0.17333333333333334, 0.06510065466717856)","(0.3466666666666667, 0.0915475416434127)","(0.029293665665803322, 0.00195093409419254)","(6.190001207265595, 2.2321959022946767)"
1,2,"(0.6066666666666667, 0.2374467358818655)","(0.7, 0.1362770287738494)","(0.26666666666666666, 0.11902380714238084)","(0.46, 0.10513596638910697)","(0.037238195128156806, 0.0009206073225841138)","(6.1873153263998875, 1.7635967131492682)"
2,3,"(0.29333333333333333, 0.15796322658258458)","(0.6799999999999999, 0.10823255385643321)","(0.30333333333333334, 0.09536895771286429)","(0.395, 0.07571091636707918)","(0.04612141740314352, 0.0005638971501187308)","(5.628211901066728, 1.4670131925485461)"
3,4,"(0.2733333333333333, 0.15796322658258458)","(0.76, 0.12983506020002017)","(0.29333333333333333, 0.09795528620364546)","(0.405, 0.08566963122533978)","(0.05561780099524185, 0.0015745848011193457)","(5.192106190998554, 1.221509872885959)"
4,5,"(0.30666666666666664, 0.2016597794967223)","(0.7866666666666666, 0.11872336794093276)","(0.37, 0.09411239481143202)","(0.4583333333333333, 0.05232681184722836)","(0.06456999833123216, 0.0021089351305472958)","(5.562636166599502, 1.2613650885058005)"
