,budget,high_margin,low_margin,other,total,time,time_defense
0,1,"(0.18, 0.10327955589886445)","(0.73, 0.18885620632287062)","(0.33, 0.11352924243950935)","(0.3925, 0.06241661103691335)","(14.071379211964086, 1.7560966662550659)","(7.76105651431717, 1.6031841332628565)"
1,2,"(0.53, 0.170293863659264)","(0.8200000000000001, 0.10327955589886448)","(0.485, 0.10814085465005557)","(0.5800000000000001, 0.06433419688539595)","(20.250936062447728, 0.992738037375399)","(7.574655761616304, 1.2280305286718352)"
2,3,"(0.56, 0.17126976771553507)","(0.87, 0.13374935098492588)","(0.615, 0.10013879257199867)","(0.665, 0.060323203569512866)","(25.679530043387786, 1.2906894018150636)","(8.392307273019105, 2.295475632439966)"
3,4,"(0.76, 0.23664319132398465)","(0.84, 0.1837873166945363)","(0.675, 0.08897565210026091)","(0.7375, 0.09223309842157774)","(32.38061377666891, 2.704504014016707)","(8.582869257032872, 2.1631862549048684)"
4,5,"(0.8, 0.13333333333333336)","(0.89, 0.1286683937707919)","(0.76, 0.10488088481701517)","(0.8025, 0.07587453093393358)","(38.25062909368425, 1.951656818888751)","(7.5734827731736, 2.089363215466902)"
