budget,high_margin,low_margin,other,total,time,time_defense
1,"(0.10666666666666667, 0.1279880946844369)","(0.8133333333333334, 0.17265434778633237)","(0.31333333333333335, 0.13688716242984672)","(0.38666666666666666, 0.09105858919765156)","(6.302040445874445, 0.9251159612959785)","(3.8950474899921876, 1.2412627264055616)"
2,"(0.19333333333333333, 0.10327955589886445)","(0.8466666666666667, 0.13557637102737474)","(0.44, 0.13912994953331528)","(0.48, 0.07916979943676214)","(7.763947276204514, 0.17042605500557895)","(3.9685364298638888, 1.1903620315112127)"
3,"(0.35333333333333333, 0.27996598432836867)","(0.9066666666666666, 0.12227992865708155)","(0.5033333333333333, 0.13557637102737474)","(0.5666666666666667, 0.13812089252673165)","(9.397506801791799, 0.30598919105145045)","(3.812146830803249, 1.241772022758429)"
4,"(0.32666666666666666, 0.23441924185608345)","(0.9266666666666666, 0.13870146083619753)","(0.5666666666666667, 0.1331844406756857)","(0.5966666666666667, 0.10684880283216404)","(11.058213113861468, 0.40564773764592393)","(3.9904672242778663, 1.4529963535344108)"
5,"(0.36666666666666664, 0.17182493859684492)","(0.8866666666666667, 0.09904304018720249)","(0.5466666666666666, 0.13156566348984758)","(0.5866666666666667, 0.10258562045340235)","(12.675219968698608, 0.5850767806742818)","(3.714579530068052, 0.9915224262137057)"
