budget,high_margin,low_margin,other,total,time,time_defense
1,"(0.26, 0.1804755622554715)","(0.7466666666666667, 0.20307165050320353)","(0.4066666666666667, 0.1208107532268469)","(0.455, 0.11188322994469342)","(6.302040445874445, 0.9251159612959785)","(3.8950474899921876, 1.2412627264055616)"
2,"(0.42666666666666664, 0.24043611170022652)","(0.8066666666666666, 0.20517124090680472)","(0.4766666666666667, 0.13870146083619755)","(0.5466666666666666, 0.13915133933273957)","(7.763947276204514, 0.17042605500557895)","(3.9685364298638888, 1.1903620315112127)"
3,"(0.5866666666666667, 0.17265434778633235)","(0.8733333333333333, 0.1279880946844369)","(0.61, 0.13522468075656266)","(0.6699999999999999, 0.0987420882906575)","(9.397506801791799, 0.30598919105145045)","(3.812146830803249, 1.241772022758429)"
4,"(0.5333333333333333, 0.20930724738891343)","(0.88, 0.12649110640673517)","(0.6533333333333333, 0.11872336794093273)","(0.68, 0.09073115703628416)","(11.058213113861468, 0.40564773764592393)","(3.9904672242778663, 1.4529963535344108)"
5,"(0.62, 0.19346465162548798)","(0.8466666666666667, 0.14074631010979938)","(0.67, 0.11307393283031365)","(0.7016666666666667, 0.09232447954800245)","(12.675219968698608, 0.5850767806742818)","(3.714579530068052, 0.9915224262137057)"
