,budget,high_margin,low_margin,other,total,time,time_defense
0,1,"(0.04, 0.06992058987801011)","(0.9400000000000001, 0.06992058987801009)","(0.275, 0.09204467514322717)","(0.3825, 0.050069396285999344)","(180.15092497656588, 34.60188942050144)","(15.226251094695181, 5.37514382432724)"
1,2,"(0.22, 0.12292725943057184)","(0.92, 0.16193277068654824)","(0.425, 0.09204467514322719)","(0.4975, 0.047798767998999965)","(180.75875434591435, 34.81437700427314)","(17.758552730618977, 7.0073098622961165)"
2,3,"(0.23, 0.2057506581601462)","(0.94, 0.107496769977314)","(0.445, 0.11167910378500637)","(0.515, 0.05797509043642028)","(180.25042442018167, 34.731042131154105)","(14.340231846389361, 6.373158591244174)"
3,4,"(0.27, 0.20027758514399735)","(0.95, 0.07071067811865474)","(0.575, 0.09501461875826149)","(0.5925, 0.05277046732995854)","(181.07088187094777, 35.632372055381154)","(12.724077467271126, 3.7716398580079984)"
4,5,"(0.28, 0.14757295747452437)","(0.9400000000000001, 0.06992058987801009)","(0.5800000000000001, 0.09775252199076787)","(0.595, 0.053748384988657014)","(182.76892069985624, 36.32107115648165)","(15.438245923141949, 4.264004931228238)"
