budget,high_margin,low_margin,other,total,time,time_defense
1,"(0.14, 0.18439088914585774)","(0.88, 0.17402791237532642)","(0.39666666666666667, 0.17674302033770736)","(0.4533333333333333, 0.13818552057013098)","(5.860135157817664, 0.9202669078041462)","(7.99305397546074, 2.8935391568990663)"
2,"(0.09333333333333334, 0.12227992865708155)","(0.9066666666666666, 0.11629191512658792)","(0.4033333333333333, 0.1652559342641704)","(0.45166666666666666, 0.10371090772407877)","(6.741161545928723, 0.10744131354699533)","(7.775705925064782, 2.2507354050676964)"
3,"(0.15333333333333332, 0.12459458063579461)","(0.9133333333333333, 0.13020130933435714)","(0.5333333333333333, 0.1507915622244668)","(0.5333333333333333, 0.10924524616441582)","(7.8949584869047005, 0.2032030651960916)","(7.235286720659739, 2.0679706489593315)"
4,"(0.12666666666666668, 0.20862360730226465)","(0.9466666666666667, 0.12459458063579462)","(0.5066666666666667, 0.12373166049772309)","(0.5216666666666667, 0.11134994173240292)","(8.945673009136225, 0.2803901542785546)","(7.270130370142094, 2.3647462704497326)"
5,"(0.26, 0.23237900077244503)","(0.9266666666666666, 0.07037315505489966)","(0.6166666666666667, 0.1819209666180292)","(0.605, 0.13201731488169055)","(10.170885070882893, 0.2773856614221323)","(8.209671563468874, 2.848056117161438)"
