budget,high_margin,low_margin,other,total,time,time_defense
1,"(0.38, 0.33848401523768973)","(0.62, 0.2541090879355333)","(0.29333333333333333, 0.15682869028094984)","(0.39666666666666667, 0.13425278218275227)","(0.048250092985108496, 0.009758538877852238)","(7.101170408337688, 2.542936265720911)"
2,"(0.35333333333333333, 0.2996823715361379)","(0.7933333333333333, 0.14864467059144132)","(0.5166666666666666, 0.1409998311380279)","(0.545, 0.11188322994469342)","(0.06924727003400524, 0.007154791974299166)","(6.698208754090592, 2.5469123230030313)"
3,"(0.34, 0.28233718443429606)","(0.7533333333333333, 0.15055453054181622)","(0.5633333333333334, 0.12601965077301389)","(0.555, 0.07392080704568717)","(0.1294688058551401, 0.04063584723525761)","(7.046048472713058, 2.770190142099731)"
4,"(0.4533333333333333, 0.24162150645369376)","(0.7933333333333333, 0.25203930154602777)","(0.6266666666666667, 0.11474609652039003)","(0.625, 0.08660254037844385)","(0.18577383424465854, 0.040140432339087984)","(6.534984742462014, 2.3735367634084676)"
5,"(0.46, 0.3089151524748688)","(0.7866666666666666, 0.26149751888106393)","(0.6433333333333333, 0.15102822189751097)","(0.6333333333333333, 0.11086778913041725)","(0.24950897499608496, 0.06834180603127574)","(6.522221108525992, 1.9282599938027176)"
