budget,high_margin,low_margin,other,total,time,time_defense
1,"(0.26, 0.2472708174105006)","(0.88, 0.16987390281365428)","(0.49, 0.11982129550769703)","(0.53, 0.10141851056742199)","(5.860135157817664, 0.9202669078041462)","(7.99305397546074, 2.8935391568990663)"
2,"(0.4266666666666667, 0.27377432485969344)","(0.8666666666666667, 0.12344267996967354)","(0.5733333333333334, 0.1279880946844369)","(0.61, 0.11603570878951751)","(6.741161545928723, 0.10744131354699533)","(7.775705925064782, 2.2507354050676964)"
3,"(0.44666666666666666, 0.2416215064536938)","(0.92, 0.10141851056742199)","(0.6166666666666667, 0.19790570145063197)","(0.65, 0.14110533046527438)","(7.8949584869047005, 0.2032030651960916)","(7.235286720659739, 2.0679706489593315)"
4,"(0.4066666666666667, 0.25485756993344527)","(0.92, 0.08618916073713347)","(0.6633333333333333, 0.11720962092804173)","(0.6633333333333333, 0.10684880283216404)","(8.945673009136225, 0.2803901542785546)","(7.270130370142094, 2.3647462704497326)"
5,"(0.47333333333333333, 0.23441924185608345)","(0.9400000000000001, 0.06324555320336757)","(0.7433333333333333, 0.1474384455903386)","(0.725, 0.11801936887041649)","(10.170885070882893, 0.2773856614221323)","(8.209671563468874, 2.848056117161438)"
