Unnamed: 0,budget,high_margin,low_margin,other,total,time,time_defense
0.0,1,"(0.5733333333333334, 0.49057789051960615)","(0.3933333333333333, 0.3011090610836324)","(0.25, 0.1267731382092775)","(0.36666666666666664, 0.23388540132377)","(0.04006532993225846, 0.016668176078907887)","(8.079351304801337, 1.8388962581583528)"
1.0,2,"(0.04666666666666667, 0.0915475416434127)","(0.44666666666666666, 0.3090692633113321)","(0.21666666666666667, 0.10801234497346433)","(0.23166666666666666, 0.1091634859587521)","(0.0645298155315686, 0.009348875532542596)","(8.126943132266994, 1.8191711519873377)"
2.0,3,"(0.06666666666666667, 0.12909944487358058)","(0.3466666666666667, 0.2695675549220764)","(0.22, 0.11922367933546471)","(0.21333333333333335, 0.09583592129010818)","(0.09720537966059055, 0.008653341838454023)","(8.017684005265377, 1.771868154905256)"
3.0,4,"(0.013333333333333334, 0.035186577527449844)","(0.38, 0.29568322818274867)","(0.32333333333333336, 0.11317916685293195)","(0.26, 0.11251983952047871)","(0.12160358173423447, 0.01380741403987695)","(7.993579179934264, 1.788281245599521)"
4.0,5,"(0.013333333333333334, 0.035186577527449844)","(0.36, 0.28485585327118895)","(0.23333333333333334, 0.13047532151257388)","(0.21, 0.09946284302621328)","(0.1441650581303596, 0.016108939302110808)","(8.209412980733516, 2.1852888536201776)"
,1,"(0.6133333333333333, 0.46731247830648864)","(0.41333333333333333, 0.32921262488086994)","(0.19, 0.14040757000349274)","(0.3516666666666667, 0.24612472641402966)","[0.03267944615799934, 0.061775709909852594, 0.028060148004442453, 0.02946832394809462, 0.06129218704882078, 0.029337003972614184, 0.027914313948713243, 0.06132791796699166, 0.028262745938263834, 0.027856532018631697, 0.061684942891588435, 0.05379593602265231, 0.027727447944926098, 0.06436486906022765, 0.027754752023611218]","[7.315115762001369, 6.891051918006269, 6.958468130993424, 10.865199746011058, 12.29109675998916, 13.544987039989792, 6.347146202024305, 7.481427849997999, 7.637049516022671, 7.019312647986226, 8.097264857002301, 7.411445034987992, 10.51211496500764, 7.1815379110048525, 7.485765593010001]"
,2,"(0.03333333333333333, 0.08164965809277261)","(0.42666666666666664, 0.28401877872187725)","(0.23, 0.11771636613972952)","(0.23, 0.09170994649281115)","[0.05351610999787226, 0.0674111359694507, 0.06523029797244817, 0.04484470299212262, 0.06845866300864145, 0.06870386702939868, 0.0582704181142617, 0.10002014602650888, 0.06601830606814474, 0.0576994679577183, 0.06803524511633441, 0.06580492897774093, 0.055293484940193594, 0.06962709396611899, 0.06937450307304971]","[6.856513239006745, 6.946877147012856, 6.95425693798461, 10.489521156996489, 12.481404135003686, 10.107729309995193, 7.242816070007393, 7.33989380300045, 7.636037232994568, 6.643228222994367, 7.721950611012289, 7.476502839999739, 6.944286239013309, 7.561153617018135, 7.48652191797737]"
,3,"(0.04, 0.07367883976130073)","(0.42, 0.35294677866702306)","(0.24333333333333335, 0.1178174536346478)","(0.23666666666666666, 0.11528949070347509)","[0.09064845394459553, 0.0846319760021288, 0.09175653610145673, 0.08204754305188544, 0.1140260259853676, 0.09706702394760214, 0.08717358607100323, 0.08485092301270925, 0.09400050100521185, 0.10227245002170093, 0.09117420899565332, 0.09234871601802297, 0.0937547120556701, 0.08546681009465829, 0.09181202508625574]","[6.862906975991791, 7.10679061000701, 6.8753269700100645, 10.576608973991824, 12.495455185999162, 10.200508797977818, 6.349762869998813, 7.264474330004305, 8.263690873980522, 6.808203934982885, 8.111693237005966, 7.49087486800272, 6.957499297015602, 7.341087342996616, 7.480439102015225]"
,4,"(0.006666666666666667, 0.025819888974716113)","(0.3333333333333333, 0.26095064302514775)","(0.25, 0.09636241116594314)","(0.21, 0.09673232581274399)","[0.1610940930841025, 0.1255658290174324, 0.11489324714057148, 0.10089564704685472, 0.12169611986610107, 0.12726395591744222, 0.11218719600583427, 0.11038311303127557, 0.11679330500192009, 0.12603076710365713, 0.11083594404044561, 0.22838776701246388, 0.11479317903285846, 0.10738801586558111, 0.11857155206962489]","[6.859241014986765, 6.94944142899476, 6.94821246000356, 9.903447221993702, 12.97252685300191, 10.979564342007507, 7.474186759995064, 7.32927105698036, 7.558384583011502, 6.640457061002962, 7.870624570001382, 7.474796826019883, 7.543678076996002, 7.177610954997363, 7.478909945988562]"
,5,"(0.02, 0.056061191058138816)","(0.3933333333333333, 0.30347197250362035)","(0.25666666666666665, 0.13740797786501474)","(0.23166666666666666, 0.10541866645948068)","[0.13693270410294645, 0.13326581488945521, 0.15768592499080114, 0.12741313193691894, 0.13340212497860193, 0.140865522029344, 0.14476601101341657, 0.16095952203613706, 0.187537474965211, 0.13689721291302703, 0.14231424091849476, 0.14696157301659696, 0.138902459962992, 0.13069928501499817, 0.13996467590914108]","[6.86366658899351, 6.948699353000848, 6.954432265018113, 10.264830308005912, 12.584201099991333, 10.678584530978696, 7.2441198930027895, 7.485373755014734, 8.27127487299731, 6.869000007980503, 7.190857671026606, 7.399976379005238, 7.323632234998513, 7.338498006982263, 7.481998219998786]"
