high_margin,low_margin,other,total,budget,time,time_defense
"(0.026666666666666665, 0.07988086367179802)","(0.66, 0.3290679478249352)","(0.5566666666666666, 0.13610220249433705)","(0.45, 0.10177004891982147)",1,"[3.546316945023136, 3.290845490031643, 3.291442829882726, 3.6214359759469517, 3.6424828809977043, 3.6195843921450432, 3.4132545031316113, 3.370152266928926, 3.3953902189969085, 3.2871932509588078, 3.293832991970703, 3.403566413995577, 3.2859376519336365, 3.2911844459886197, 3.2704323420475703]","[7.681964587973198, 7.021727746003307, 7.0254671549773775, 10.742904767976142, 14.660794997995254, 10.705269652971765, 7.311853396997321, 7.405367064988241, 8.332228849001694, 7.014375444006873, 8.101644195994595, 7.536587168986443, 7.001499517005868, 7.2771992219786625, 7.638573071017163]"
"(0.11333333333333333, 0.26149751888106393)","(0.7266666666666667, 0.3411465262624733)","(0.67, 0.1346954236151219)","(0.545, 0.15675276256394516)",2,"[6.583483592112316, 6.524310781998793, 6.512679529056186, 7.148737251001876, 7.167233167070663, 7.154105326917488, 6.77428560613771, 6.705270469974494, 6.783073879108997, 6.500624692940619, 6.503258834098233, 6.5199405599269085, 6.516441644023871, 6.582712835894199, 6.510044122143881]","[6.942677633021958, 6.969089578022249, 7.028247566981008, 10.269224807998398, 13.309739435993833, 10.314361377997557, 6.384267267014366, 7.408599703019718, 8.34734769698116, 6.8584935890103225, 8.018184834974818, 7.478065022005467, 7.3185224260087125, 7.252845301991329, 7.5642117820098065]"
"(0.18, 0.3121355017113104)","(0.8, 0.31622776601683794)","(0.7466666666666667, 0.10932694522568968)","(0.6183333333333333, 0.1471353442372346)",3,"[9.736299852986122, 9.726027001976036, 9.729214071994647, 10.726616600033594, 10.684805994969793, 10.629579732136335, 9.981875020108419, 9.982500565005466, 9.984179357008543, 9.693428099999437, 9.694021935923956, 9.694932474085363, 9.692815074056853, 9.695103741018102, 9.692995383084053]","[6.917567602999043, 7.027836081018904, 7.0288145979866385, 10.386927010986255, 13.193923184007872, 10.494995054003084, 7.070875358011108, 7.644598131999373, 7.714612023002701, 6.69500515999971, 8.1634715529799, 7.5498407109989785, 7.314713118976215, 7.278149241989013, 7.642555158003233]"
"(0.24666666666666667, 0.341983012666391)","(0.8133333333333334, 0.26149751888106393)","(0.7633333333333333, 0.08957571949925673)","(0.6466666666666667, 0.12847549330885008)",4,"[12.922455881140195, 12.990627967985347, 12.914620520052267, 14.163874382997165, 14.162336396082537, 14.161345503962366, 13.301162038027542, 13.300528998981463, 13.299355960887624, 12.914534041890875, 12.914990481047425, 12.917246335186064, 13.037068061123136, 12.915503605938284, 12.913813621009467]","[6.94007237200276, 6.939906162006082, 6.943171893013641, 10.306610399013152, 12.53305923298467, 11.287134163983865, 7.0758093429903965, 7.403499398991698, 8.348658545000944, 6.932937579986174, 7.271730230975663, 7.476740461017471, 7.315897594002308, 7.4046671310206875, 7.555020340019837]"
"(0.3, 0.3484660262185848)","(0.7733333333333333, 0.30814344217000783)","(0.8233333333333334, 0.0752772652709081)","(0.68, 0.1398979219696582)",5,"[16.13329278692254, 16.13506375203724, 16.135762341989903, 17.6904315140564, 17.694266406848328, 17.691606529959245, 16.614487370999996, 16.792117493983824, 16.615720031026285, 16.136351873981766, 16.13580798311159, 16.137038498098264, 16.135770137887448, 16.136406689940486, 16.137287626042962]","[6.927571122010704, 6.943353907001438, 7.018536991003202, 11.074511644983431, 12.603971043979982, 10.114622796012554, 6.4048013239807915, 7.3250790080055594, 7.70789798599435, 7.162034653010778, 8.170601733989315, 7.394901042978745, 7.465950645011617, 7.3322208170138765, 7.550165742984973]"
