Unnamed: 0,budget,high_margin,low_margin,other,total,time,time_defense
0.0,1,"(0.02666666666666667, 0.10327955589886445)","(0.5333333333333333, 0.42031734043061636)","(0.32333333333333336, 0.10327955589886445)","(0.30166666666666664, 0.1174379268663521)","(82.20185984826942, 3.514051621394506)","(8.529125685133234, 1.9437712501315314)"
1.0,2,"(0.013333333333333334, 0.051639777949432225)","(0.5866666666666667, 0.36813558578845584)","(0.45666666666666667, 0.10997835284835873)","(0.37833333333333335, 0.11909879852258716)","(84.42513250480236, 3.222693098354737)","(8.347476911200404, 1.868091899915237)"
2.0,3,"(0.013333333333333334, 0.035186577527449844)","(0.6466666666666667, 0.394365071379058)","(0.5633333333333334, 0.12021805585011326)","(0.44666666666666666, 0.10768118728560758)","(84.10310646426369, 3.1875078921249282)","(8.398795340265982, 1.787825785248829)"
3.0,4,"(0.02, 0.07745966692414834)","(0.5866666666666667, 0.4015446366695678)","(0.55, 0.13627702877384937)","(0.4266666666666667, 0.13108975478474208)","(83.69558233126736, 3.785197163382873)","(8.49247254593356, 1.895174346886936)"
4.0,5,"(0.04, 0.09102589898327995)","(0.68, 0.323375058672478)","(0.5566666666666666, 0.11474609652039003)","(0.4583333333333333, 0.10465362369445672)","(84.05072998292842, 2.9973519418064223)","(8.372049892533202, 1.847402645930374)"
