,budget,high_margin,low_margin,other,total,time,time_defense
0,1,"(0.06, 0.18439088914585772)","(0.6733333333333333, 0.3575045787252575)","(0.5166666666666667, 0.17286107827082528)","(0.44166666666666665, 0.1341862600304233)","(249.94108264682777, 27.535095454972158)","(19.669539846731155, 5.133828460906966)"
1,2,"(0.12666666666666668, 0.19808608037440498)","(0.68, 0.3687817782917155)","(0.6033333333333334, 0.17265434778633237)","(0.5033333333333333, 0.13590525411196616)","(448.40515050852747, 59.6346578912471)","(19.75202395353117, 4.845944874297611)"
2,3,"(0.3, 0.3664501525251617)","(0.7333333333333334, 0.3309438162646487)","(0.72, 0.10316422414217606)","(0.6183333333333333, 0.14061937819450604)","(597.4968465982723, 68.51301435701504)","(19.479137960999893, 4.134488927519229)"
3,4,"(0.32, 0.380225497003329)","(0.7266666666666667, 0.35145954180219596)","(0.7233333333333333, 0.14125289714685837)","(0.6233333333333333, 0.16104199393178106)","(786.8902195684282, 109.19981390578447)","(19.836140802935308, 4.626805403796331)"
4,5,"(0.31333333333333335, 0.3777124126457412)","(0.74, 0.3775863193647627)","(0.7566666666666667, 0.12081075322684688)","(0.6416666666666667, 0.17669249586566516)","(952.7251638794609, 154.6309804219991)","(20.350682246265933, 5.4619780298426965)"
