Unnamed: 0,budget,high_margin,low_margin,other,total,time,time_defense
0.0,1,"(0.03333333333333333, 0.06172133998483677)","(0.6533333333333333, 0.39617216074881)","(0.54, 0.1055597325823495)","(0.44166666666666665, 0.10550332876716441)","(10.51622340033476, 0.3631993528323283)","(8.055202382666902, 1.863754145311717)"
1.0,2,"(0.04, 0.10555973258234952)","(0.78, 0.25967012040004034)","(0.6266666666666667, 0.14251148658800739)","(0.5183333333333333, 0.0942388050696335)","(10.9264900009337, 0.25530348440014167)","(8.221741008466779, 1.8745308160291019)"
2.0,3,"(0.05333333333333334, 0.13557637102737477)","(0.76, 0.35213633723318016)","(0.7566666666666667, 0.10668154658117954)","(0.5816666666666667, 0.10834249045547753)","(11.042082975805291, 0.44234205544508504)","(8.357388011200237, 2.0768626510651598)"
3.0,4,"(0.07333333333333333, 0.1279880946844369)","(0.8, 0.29277002188455997)","(0.78, 0.101418510567422)","(0.6083333333333333, 0.11126972805283736)","(11.2152469045274, 0.5099471581221099)","(8.152330411599541, 1.9231264865200572)"
4.0,5,"(0.13333333333333333, 0.29920529661723827)","(0.8533333333333334, 0.26149751888106393)","(0.7633333333333333, 0.12882250616735452)","(0.6283333333333333, 0.11014060278095622)","(11.633035014201111, 0.5302303924262832)","(8.106087147332921, 1.7544558722041967)"
