budget,high_margin,low_margin,other,total,time,time_defense
1,"(0.5333333333333333, 0.5037951208671277)","(0.4, 0.3273268353539886)","(0.31, 0.13389761547007262)","(0.3883333333333333, 0.23976675173613052)","(0.09094994623834889, 0.05675495483002527)","(8.476681186786543, 1.807831808050267)"
2,"(0.05333333333333334, 0.12459458063579461)","(0.3466666666666667, 0.2386469797679848)","(0.25666666666666665, 0.11781745363464778)","(0.22833333333333333, 0.09813741580535112)","(0.2026260761699329, 0.026580247523841034)","(8.08368991559061, 1.7383986779788503)"
3,"(0.05333333333333334, 0.12459458063579461)","(0.3466666666666667, 0.28250579429371675)","(0.32, 0.10987005311470717)","(0.26, 0.11680264184879185)","(0.3424173629997919, 0.033504783531132135)","(8.081630154543866, 1.7287550252996482)"
4,"(0.04666666666666667, 0.11254628677422755)","(0.37333333333333335, 0.21201976547572388)","(0.3833333333333333, 0.0994029797388005)","(0.2966666666666667, 0.07954483611386066)","(0.5454181640564154, 0.06548329843008746)","(8.052940865450848, 1.706255088683577)"
5,"(0.09333333333333334, 0.2016597794967223)","(0.43333333333333335, 0.2919556391613206)","(0.38666666666666666, 0.10600988273786194)","(0.325, 0.11259916264596033)","(0.831991913743938, 0.10913554792886805)","(8.163975386026626, 2.0014194090244155)"
