,budget,high_margin,low_margin,high_degree,low_degree,other,total,time,time_defense
0,1,"(0.013333333333333334, 0.035186577527449844)","(0.7, 0.15583874449479593)","(0.0, 0.0)","(0.2, 0.15583874449479593)","(0.13333333333333333, 0.14960264830861913)","(0.20933333333333334, 0.06273147611237995)","(254.33369984962047, 13.723057986304058)","(2.1442332240442434, 1.1469945714511474)"
1,2,"(0.06666666666666667, 0.08164965809277261)","(0.8866666666666667, 0.07432233529572063)","(0.013333333333333334, 0.035186577527449844)","(0.32666666666666666, 0.21865389045137934)","(0.25333333333333335, 0.21668498091095503)","(0.30933333333333335, 0.07401415566021974)","(251.3442540487585, 18.417710707111702)","(2.2255140078564484, 0.9446017150936962)"
2,3,"(0.12666666666666668, 0.1279880946844369)","(0.8733333333333333, 0.10997835284835875)","(0.006666666666666667, 0.025819888974716113)","(0.52, 0.290811671999988)","(0.3, 0.12535663410560174)","(0.36533333333333334, 0.09605553948974868)","(101.92847961774096, 17.35248090387133)","(1.0113142397875587, 0.7649937138146201)"
3,4,"(0.28, 0.21778101714468007)","(0.8866666666666667, 0.10600988273786194)","(0.0, 0.0)","(0.5866666666666667, 0.188477610139267)","(0.38, 0.19712215212183246)","(0.4266666666666667, 0.10272478256185774)","(93.7189686189716, 8.736622690643646)","(0.7792480329362055, 0.31271250285014884)"
4,5,"(0.38, 0.19346465162548798)","(0.8733333333333333, 0.1162919151265879)","(0.006666666666666667, 0.025819888974716113)","(0.7, 0.25911938781738647)","(0.5133333333333333, 0.21668498091095506)","(0.4946666666666667, 0.13211827313145635)","(118.22177444982032, 16.46189056102239)","(1.0147201558264594, 0.3197385124932483)"
