,budget,high_margin,low_margin,high_degree,low_degree,other,total,time,time_defense
0,1,"(0.02, 0.07745966692414834)","(0.5466666666666666, 0.21336309316235907)","(0.02666666666666667, 0.05936168397046637)","(0.15333333333333332, 0.17674302033770736)","(0.08, 0.17808505191139912)","(0.16533333333333333, 0.11746529375988143)","(0.16142836008220912, 0.06375028739674932)","(1.1142209505662322, 0.49569787502037754)"
1,2,"(0.13333333333333333, 0.198805959477601)","(0.7266666666666667, 0.13870146083619755)","(0.05333333333333334, 0.0990430401872025)","(0.6066666666666667, 0.3283436063174123)","(0.36, 0.2720294101747089)","(0.376, 0.13860529777547673)","(0.2640373069792986, 0.059563276922147045)","(1.0729621496361992, 0.447789617191005)"
2,3,"(0.23333333333333334, 0.2554174920362645)","(0.78, 0.1424279266355945)","(0.09333333333333334, 0.2016597794967223)","(0.68, 0.27568097504180444)","(0.4, 0.2507132682112035)","(0.43733333333333335, 0.13666782810191738)","(0.4372510752019783, 0.1163243518740835)","(0.9953836739063263, 0.37794220572871606)"
3,4,"(0.31333333333333335, 0.2030716505032035)","(0.78, 0.17402791237532642)","(0.12, 0.25128242505765724)","(0.7, 0.26186146828319085)","(0.4066666666666667, 0.24043611170022652)","(0.464, 0.16286716761126008)","(0.6234755431612332, 0.13113845450890815)","(1.14682685409983, 0.48071136688832433)"
4,5,"(0.43333333333333335, 0.2919556391613206)","(0.76, 0.16818357317441643)","(0.13333333333333333, 0.27688746209726917)","(0.7333333333333334, 0.24102953780654787)","(0.49333333333333335, 0.25485756993344527)","(0.5106666666666667, 0.19196229788561037)","(0.5565695838071406, 0.1644489868813817)","(0.852463278764238, 0.48912205733816255)"
