,budget,high_margin,low_margin,other,total,time,time_defense
0,1,"(0.0, 0.0)","(0.98, 0.04216370213557838)","(0.27, 0.12516655570345725)","(0.38, 0.06433419688539595)","(13.245206427853555, 0.3077298278591856)","(0.9076505320612341, 0.45652009477579497)"
1,2,"(0.01, 0.0316227766016838)","(1.0, 0.0)","(0.515, 0.14729034063523802)","(0.51, 0.07564537145273478)","(13.513979419600219, 0.2595280863133777)","(0.8250141337979585, 0.4404623839137191)"
2,3,"(0.01, 0.0316227766016838)","(1.0, 0.0)","(0.685, 0.11796892246124258)","(0.595, 0.0610100173924104)","(13.757146172551439, 0.25502513205428906)","(0.8182117079850286, 0.41545112561190417)"
3,4,"(0.06, 0.1577621275493231)","(1.0, 0.0)","(0.755, 0.09559753599799992)","(0.6425, 0.052770467329958555)","(13.864854569081217, 0.33610710651291215)","(0.8201072096358984, 0.45761165419158223)"
4,5,"(0.05, 0.10801234497346433)","(1.0, 0.0)","(0.845, 0.05502524673073057)","(0.685, 0.024152294576982373)","(14.180924590304494, 0.41748275379797367)","(0.7683733588084578, 0.3438396511606951)"
