,budget,high_margin,low_margin,high_degree,low_degree,other,total,time,time_defense
0,1,"(0.4666666666666667, 0.3559026084010437)","(0.5866666666666667, 0.15976172734359606)","(0.060000000000000005, 0.11212238211627763)","(0.6733333333333333, 0.4667006790326363)","(0.18, 0.13201731488169052)","(0.3933333333333333, 0.1662470909161879)","(0.03953107077783594, 0.004020335978756294)","(5.887991188734304, 2.005904380010455)"
1,2,"(0.5533333333333333, 0.25317037365228595)","(0.6933333333333334, 0.10327955589886445)","(0.07333333333333333, 0.10327955589886445)","(0.7266666666666667, 0.17511900715418263)","(0.2866666666666667, 0.17265434778633237)","(0.4666666666666667, 0.08901578244226989)","(0.04536411166773178, 0.000719471066810327)","(5.603299947731042, 1.2372282719784418)"
2,3,"(0.31333333333333335, 0.16846647257229666)","(0.7066666666666667, 0.14864467059144132)","(0.09333333333333334, 0.08837151016885368)","(0.4066666666666667, 0.1486446705914413)","(0.34, 0.20976176963403032)","(0.372, 0.08444778606587962)","(0.05628686793303738, 0.0006560784887000996)","(5.759052642739456, 1.5813514145639243)"
3,4,"(0.2733333333333333, 0.16242214252050852)","(0.7466666666666667, 0.14074631010979938)","(0.09333333333333334, 0.07988086367179803)","(0.3466666666666667, 0.19223002094465097)","(0.32666666666666666, 0.17915143899851346)","(0.35733333333333334, 0.07591975713745087)","(0.06812972784973681, 0.002552054454639404)","(5.674175902399778, 1.453406299298821)"
4,5,"(0.3333333333333333, 0.2439750182371333)","(0.74, 0.13522468075656266)","(0.06666666666666667, 0.0723746864455746)","(0.38666666666666666, 0.1807392228230128)","(0.3933333333333333, 0.15337473561121312)","(0.384, 0.07971377367987113)","(0.08022799294364329, 0.0018682641543162368)","(5.016566124537106, 1.1762581288195801)"
