budget,high_margin,low_margin,high_degree,low_degree,other,total,time,time_defense
1,"(0.04666666666666667, 0.07432233529572066)","(0.52, 0.18973665961010278)","(0.12000000000000001, 0.09411239481143203)","(0.5933333333333334, 0.17915143899851346)","(0.2733333333333333, 0.17915143899851346)","(0.31066666666666665, 0.10660117036791633)","(11.201297800661996, 1.035851272690749)","(2.4242674019963792, 0.6827504548727054)"
2,"(0.02666666666666667, 0.05936168397046637)","(0.41333333333333333, 0.2386469797679848)","(0.11333333333333334, 0.13557637102737474)","(0.43333333333333335, 0.18387366263150307)","(0.16666666666666666, 0.13972762620115436)","(0.23066666666666666, 0.09735550954155209)","(13.642266635585111, 0.4838250342696532)","(2.443509698535005, 0.730634504823716)"
3,"(0.03333333333333333, 0.06172133998483677)","(0.52, 0.18593393604027364)","(0.12000000000000001, 0.09411239481143203)","(0.58, 0.193464651625488)","(0.2866666666666667, 0.13557637102737474)","(0.308, 0.07551726387295254)","(16.276701633356666, 0.8312207524986552)","(2.2067409252010597, 0.48463413658688226)"
4,"(0.04666666666666667, 0.0833809387832792)","(0.3466666666666667, 0.21668498091095503)","(0.11333333333333334, 0.11254628677422755)","(0.5733333333333334, 0.22189658681037713)","(0.25333333333333335, 0.19223002094465097)","(0.26666666666666666, 0.10654755254054854)","(18.76127335698111, 0.9085005922990607)","(2.365897761793652, 0.5567717528773459)"
5,"(0.04666666666666667, 0.1302013093343571)","(0.48666666666666664, 0.20655911179772887)","(0.15333333333333335, 0.10600988273786192)","(0.6866666666666666, 0.20307165050320353)","(0.32, 0.13732131246511903)","(0.33866666666666667, 0.08991000791797055)","(20.877339295088312, 1.4210875645116035)","(2.242691635270603, 0.542796155908371)"
