budget,high_margin,low_margin,other,total,time,time_defense
1,"(0.0, 0.0)","(0.46, 0.16388149028228557)","(0.09333333333333334, 0.06510065466717857)","(0.16166666666666668, 0.06040537661342345)","(0.11349946715248128, 0.02609169615247991)","(1.7125464662443846, 0.6296596008256707)"
2,"(0.0, 0.0)","(0.5466666666666666, 0.17265434778633235)","(0.22, 0.07973169292786186)","(0.24666666666666667, 0.06258327785172862)","(0.23689425407598416, 0.009833947706566403)","(1.6046076219839354, 0.33601996949693264)"
3,"(0.0, 0.0)","(0.5933333333333334, 0.23135213317324205)","(0.2733333333333333, 0.10997835284835873)","(0.285, 0.07428228014040188)","(0.39978103518175584, 0.019052589208652798)","(1.61087916623801, 0.489697982566948)"
4,"(0.0, 0.0)","(0.5466666666666666, 0.16846647257229663)","(0.31666666666666665, 0.11286317042372697)","(0.295, 0.059160797830996155)","(0.617353871325031, 0.038143732552053694)","(1.6170459291587274, 0.33440572693681486)"
5,"(0.0, 0.0)","(0.5933333333333333, 0.11629191512658789)","(0.38333333333333336, 0.10634624492441569)","(0.34, 0.06600865744084526)","(0.9146203996613622, 0.09228846378926986)","(1.6319669511479635, 0.35821023155641224)"
