budget,high_margin,low_margin,other,total,time,time_defense
1,"(0.0, 0.0)","(0.9933333333333333, 0.025819888974716106)","(0.67, 0.12789504625724507)","(0.5833333333333334, 0.06659222033784283)","(129.48966910879827, 3.386609831671633)","(2.26059170513181, 0.4889239249821608)"
2,"(0.0, 0.0)","(1.0, 0.0)","(0.7833333333333333, 0.08997354108424373)","(0.6416666666666666, 0.04498677054212187)","(178.72152344260442, 4.837354200688571)","(2.475060798600316, 0.6498445022671795)"
3,"(0.0, 0.0)","(1.0, 0.0)","(0.87, 0.09964221709983889)","(0.6849999999999999, 0.049821108549919446)","(226.9910117542992, 8.314662489212886)","(2.5828299826787164, 0.5408974348491581)"
4,"(0.0, 0.0)","(1.0, 0.0)","(0.8866666666666667, 0.07898161329129227)","(0.6933333333333334, 0.03949080664564613)","(275.7265184811627, 12.030316833379876)","(2.450206250080373, 0.6247105992634567)"
5,"(0.0, 0.0)","(1.0, 0.0)","(0.9233333333333333, 0.06778818551368737)","(0.7116666666666667, 0.03389409275684369)","(324.9912465327148, 15.062026938711625)","(2.620129361127814, 0.5260589423238502)"
