,budget,high_margin,low_margin,other,total,time,time_defense
0,1,"(0.0, 0.0)","(1.0, 0.0)","(0.6433333333333333, 0.1293757907728306)","(0.5716666666666667, 0.0646878953864153)","(3.3226602972686425, 0.12336484701086664)","(1.8820769326661926, 0.5615107242051335)"
1,2,"(0.0, 0.0)","(1.0, 0.0)","(0.8433333333333334, 0.09036961141150639)","(0.6716666666666666, 0.04518480570575319)","(6.624882638200506, 0.2469699390752003)","(1.551955032133022, 0.2848734456025207)"
2,3,"(0.0, 0.0)","(1.0, 0.0)","(0.8833333333333333, 0.06725927091345492)","(0.6916666666666667, 0.03362963545672745)","(9.927986162531791, 0.37048413466325486)","(1.6117491620003421, 0.2730778340453987)"
3,4,"(0.0, 0.0)","(1.0, 0.0)","(0.9366666666666666, 0.044185755084426834)","(0.7183333333333333, 0.022092877542213424)","(13.230610473266522, 0.4942090570920999)","(1.6939083807328037, 0.315826623272043)"
4,5,"(0.0, 0.0)","(1.0, 0.0)","(0.9366666666666666, 0.06935073041809876)","(0.7183333333333333, 0.03467536520904938)","(16.528352775002713, 0.6222877327082719)","(1.6692631199999597, 0.4363330260388678)"
