budget,high_margin,low_margin,high_degree,low_degree,other,total,time,time_defense
1,"(0.0, 0.0)","(0.12666666666666668, 0.1869555587629877)","(0.0, 0.0)","(0.006666666666666667, 0.025819888974716113)","(0.0, 0.0)","(0.02666666666666667, 0.03677473252630061)","(15.622336839969892, 0.5054271159054757)","(34.75625203500967, 15.839019498584259)"
2,"(0.0, 0.0)","(0.16666666666666666, 0.198805959477601)","(0.0, 0.0)","(0.006666666666666667, 0.025819888974716113)","(0.0, 0.0)","(0.034666666666666665, 0.041724721460452925)","(17.009906513523312, 2.041771235427748)","(34.614071319252254, 15.871074154712353)"
3,"(0.0, 0.0)","(0.24, 0.21313979316066586)","(0.0, 0.0)","(0.006666666666666667, 0.025819888974716113)","(0.006666666666666667, 0.025819888974716113)","(0.050666666666666665, 0.047729395953596966)","(18.946594663988797, 2.682912311757934)","(34.6363740777364, 15.875238636963294)"
4,"(0.0, 0.0)","(0.22666666666666668, 0.198086080374405)","(0.0, 0.0)","(0.006666666666666667, 0.025819888974716113)","(0.02, 0.041403933560541256)","(0.05066666666666667, 0.04589843860815602)","(21.911990938133872, 4.4253487849917565)","(34.641223110134405, 15.87593342350963)"
5,"(0.0, 0.0)","(0.25333333333333335, 0.17265434778633237)","(0.0, 0.0)","(0.013333333333333334, 0.051639777949432225)","(0.013333333333333334, 0.035186577527449844)","(0.056, 0.04154171741411621)","(21.938467254078326, 4.090152758672336)","(34.639310945329875, 15.870294406423238)"
