budget,high_margin,low_margin,high_degree,low_degree,other,total,time,time_defense
1,"(0.0, 0.0)","(0.7733333333333333, 0.19073791542572857)","(0.02, 0.041403933560541256)","(0.0, 0.0)","(0.26666666666666666, 0.1543033499620919)","(0.212, 0.05002856326996752)","(492.0696140228616, 20.145858288550365)","(2.439577407669276, 0.4959033297234327)"
2,"(0.0, 0.0)","(0.9133333333333333, 0.10600988273786192)","(0.060000000000000005, 0.0632455532033676)","(0.20666666666666667, 0.1869555587629877)","(0.5333333333333333, 0.1496026483086191)","(0.3426666666666667, 0.048324301290738746)","(823.1108593216709, 35.88542340668837)","(2.279850340328024, 0.36441301657829694)"
3,"(0.0, 0.0)","(0.9533333333333334, 0.05163977794943221)","(0.1, 0.07559289460184546)","(0.56, 0.26403462976338105)","(0.7266666666666667, 0.15796322658258458)","(0.468, 0.07203173903614593)","(1139.4278385348541, 56.553158114293325)","(2.3099547887958276, 0.37977161433899825)"
4,"(0.006666666666666667, 0.025819888974716113)","(0.98, 0.04140393356054124)","(0.12000000000000001, 0.09411239481143203)","(0.7466666666666667, 0.21336309316235907)","(0.7933333333333333, 0.1334523278535216)","(0.5293333333333333, 0.06797758734283221)","(1481.213157515678, 76.03499574369194)","(2.3294084547980067, 0.3817380035990969)"
5,"(0.013333333333333334, 0.035186577527449844)","(0.9866666666666667, 0.03518657752744983)","(0.15333333333333335, 0.09904304018720249)","(0.96, 0.05070925528371099)","(0.9133333333333333, 0.06399404734221843)","(0.6053333333333333, 0.028751811537130436)","(1799.9135042695484, 104.26692655718914)","(2.339787741145119, 0.3792667934485763)"
