budget,high_margin,low_margin,high_degree,low_degree,other,total,time,time_defense
1,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(3.699986306061813, 0.21925954612326568)","(1.967979763269735, 0.5380480182088924)"
2,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(3.6519088343833572, 0.21139860707312122)","(1.8789690662020198, 0.46820510816475264)"
3,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(3.666718664749836, 0.20601872063594256)","(1.9746370292617939, 0.5012137375001067)"
4,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(3.6257854721314895, 0.19954546805850948)","(1.8518159386585467, 0.48167210899377644)"
5,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(3.6154030755977145, 0.2058288372093497)","(1.8195845219345452, 0.4774225461536181)"
