budget,high_margin,low_margin,high_degree,low_degree,other,total,time,time_defense
1,"(0.0, 0.0)","(0.72, 0.13201731488169055)","(0.02, 0.041403933560541256)","(0.0, 0.0)","(0.18, 0.11464230084422217)","(0.184, 0.03641035959331198)","(120.5822140817996, 6.887521691150939)","(2.4641781775280833, 0.5261329614918767)"
2,"(0.0, 0.0)","(0.88, 0.10823255385643321)","(0.04666666666666667, 0.07432233529572066)","(0.0, 0.0)","(0.36, 0.16818357317441643)","(0.25733333333333336, 0.03283436063174122)","(121.04692081542453, 6.998196001117259)","(2.4897455949219873, 0.5039228108668685)"
3,"(0.0, 0.0)","(0.9333333333333333, 0.10465362369445672)","(0.060000000000000005, 0.07367883976130073)","(0.006666666666666667, 0.025819888974716113)","(0.49333333333333335, 0.15796322658258455)","(0.2986666666666667, 0.035830287799702695)","(121.51413840583992, 6.810407322041637)","(2.511052853742149, 0.4615692569229382)"
4,"(0.0, 0.0)","(0.9266666666666666, 0.07988086367179803)","(0.07333333333333333, 0.07988086367179803)","(0.060000000000000005, 0.0632455532033676)","(0.5933333333333333, 0.15337473561121312)","(0.33066666666666666, 0.03534860406754147)","(121.35497245613175, 6.896766646995284)","(2.491064539803968, 0.4575055299232345)"
5,"(0.0, 0.0)","(0.9666666666666667, 0.06172133998483675)","(0.08, 0.07745966692414834)","(0.13333333333333333, 0.11126972805283737)","(0.6466666666666666, 0.14573295865416044)","(0.36533333333333334, 0.040331955899344456)","(121.15344653586702, 7.063198675523207)","(2.469853712346715, 0.471632628991681)"
