budget,high_margin,low_margin,high_degree,low_degree,other,total,time,time_defense
1,"(0.0, 0.0)","(0.8666666666666667, 0.14960264830861913)","(0.02666666666666667, 0.04577377082170635)","(0.0, 0.0)","(0.26, 0.12983506020002017)","(0.23066666666666666, 0.03692979181920098)","(234.15272688589758, 3.2372217018384615)","(2.457419414333223, 0.4989753835473572)"
2,"(0.0, 0.0)","(0.9133333333333333, 0.14573295865416044)","(0.02666666666666667, 0.04577377082170635)","(0.03333333333333333, 0.06172133998483677)","(0.5266666666666666, 0.21865389045137937)","(0.3, 0.0518238775634773)","(323.42435264126397, 7.260155350424854)","(2.286071060334022, 0.3683930706280351)"
3,"(0.0, 0.0)","(0.96, 0.05070925528371099)","(0.04666666666666667, 0.06399404734221845)","(0.16666666666666666, 0.21269248984883138)","(0.6666666666666666, 0.17994708216848748)","(0.368, 0.07551726387295254)","(418.7055882338512, 11.833466500189306)","(2.2720338223269207, 0.3644761532530718)"
4,"(0.0, 0.0)","(0.96, 0.08280786712108251)","(0.08666666666666667, 0.07432233529572066)","(0.26, 0.2720294101747089)","(0.7866666666666667, 0.10600988273786195)","(0.4186666666666667, 0.07836422896291638)","(512.5922164263592, 15.119230474604691)","(2.3066902886726894, 0.39171255230593555)"
5,"(0.006666666666666667, 0.025819888974716113)","(0.9933333333333333, 0.025819888974716106)","(0.1, 0.07559289460184546)","(0.46, 0.3089151524748688)","(0.8466666666666667, 0.12459458063579462)","(0.48133333333333334, 0.09485829029713343)","(610.274362556454, 18.409200414026454)","(2.275625573855359, 0.36940989523736467)"
