,budget,high_margin,low_margin,high_degree,low_degree,other,total,time,time_defense
0,1,"(0.0, 0.0)","(0.9333333333333333, 0.07237468644557457)","(0.06666666666666667, 0.09759000729485333)","(0.0, 0.0)","(0.38666666666666666, 0.14573295865416044)","(0.2773333333333333, 0.04463609472591607)","(324.14715488669464, 34.65617275033392)","(2.9615175284445288, 1.2302112115060597)"
1,2,"(0.0, 0.0)","(0.9666666666666667, 0.06172133998483675)","(0.08, 0.13732131246511903)","(0.02666666666666667, 0.10327955589886445)","(0.5066666666666667, 0.1667618775665584)","(0.316, 0.04672105673951674)","(327.7677822238145, 24.098921302215754)","(3.088687916689863, 1.1875192009230666)"
2,3,"(0.0, 0.0)","(0.98, 0.04140393356054124)","(0.12000000000000001, 0.17808505191139912)","(0.03333333333333333, 0.08164965809277261)","(0.6133333333333333, 0.10600988273786194)","(0.34933333333333333, 0.04589843860815602)","(326.47474470813756, 35.588629067541255)","(2.7039107718504964, 0.7072441459570784)"
3,4,"(0.0, 0.0)","(1.0, 0.0)","(0.11333333333333334, 0.17265434778633237)","(0.013333333333333334, 0.035186577527449844)","(0.6933333333333334, 0.1334523278535216)","(0.364, 0.038692930325097595)","(327.51692036207146, 35.17091789743099)","(2.9654272089401883, 1.2234922179512877)"
4,5,"(0.0, 0.0)","(0.9666666666666667, 0.06172133998483675)","(0.12, 0.20770858707058104)","(0.06666666666666667, 0.1588650220724979)","(0.6733333333333333, 0.15796322658258458)","(0.36533333333333334, 0.0474893471763731)","(326.84247142562333, 33.72466015793168)","(3.0882339837960897, 1.5419552920746444)"
