,budget,high_margin,low_margin,other,total,time,time_defense
0,1,"(0.09999999999999999, 0.229906813420444)","(0.7733333333333333, 0.3390462814312833)","(0.43666666666666665, 0.29366323439970354)","(0.43666666666666665, 0.24528894525980308)","(227.25871074560953, 5.720705487650722)","(10.654078117067305, 15.528412389010818)"
1,2,"(0.28, 0.3028436654683167)","(0.8533333333333334, 0.348192612268117)","(0.59, 0.3117920552456167)","(0.5783333333333334, 0.2561505323790978)","(405.5485669523866, 15.695621938280683)","(10.291231081666774, 15.02281184608268)"
2,3,"(0.3333333333333333, 0.29920529661723827)","(0.8666666666666667, 0.3518657752744984)","(0.6333333333333333, 0.2742956347412318)","(0.6166666666666667, 0.2594063736045563)","(562.3196082816672, 27.26864161570572)","(10.224858977665038, 13.964647886858465)"
3,4,"(0.32666666666666666, 0.32396354880199246)","(0.8533333333333334, 0.348192612268117)","(0.7233333333333333, 0.316152464726089)","(0.6566666666666666, 0.2762094615806393)","(725.0053338412157, 38.668385191283704)","(10.215254504668216, 14.65390937955314)"
4,5,"(0.38666666666666666, 0.33565855667130945)","(0.8666666666666667, 0.3518657752744984)","(0.7033333333333334, 0.3102226542954193)","(0.665, 0.2882830949902246)","(891.8135297169268, 41.961618594072384)","(9.339156097868303, 12.006791610164704)"
