budget,high_margin,low_margin,other,total,time,time_defense
1,"(0.12666666666666668, 0.3172801075810878)","(0.8533333333333334, 0.2722044049886741)","(0.4866666666666667, 0.2695675549220764)","(0.48833333333333334, 0.23046278493087607)","(118.34312956761957, 2.067525075361436)","(3.847034948063083, 3.9900510054046747)"
2,"(0.2733333333333333, 0.36344908597386527)","(0.9, 0.26186146828319085)","(0.5366666666666666, 0.22076706103514454)","(0.5616666666666666, 0.20329136959640207)","(155.2596936218324, 3.296017153901398)","(3.798769704341733, 3.8220509637399696)"
3,"(0.21333333333333335, 0.28250579429371675)","(0.8333333333333334, 0.263673679998231)","(0.66, 0.24654759030603868)","(0.5916666666666667, 0.21519647722377755)","(192.9898214455888, 4.15766875646649)","(3.7327322890089514, 4.042242705155164)"
4,"(0.24, 0.2720294101747089)","(0.8866666666666667, 0.2695675549220764)","(0.6433333333333333, 0.22350029295815463)","(0.6033333333333333, 0.20742181544815755)","(228.5666211092185, 7.317402987916954)","(3.6222906291329613, 3.5212119039507246)"
5,"(0.28, 0.3299350585450762)","(0.9, 0.2563479777846623)","(0.7033333333333334, 0.2489023522435675)","(0.6466666666666667, 0.21730218152434205)","(270.9081964278827, 8.298113161366617)","(3.9314292070649874, 4.468701631319623)"
