high_margin,low_margin,other,total,budget,time,time_defense
"(0.07333333333333333, 0.17511900715418263)","(0.8666666666666667, 0.27945525240230873)","(0.43666666666666665, 0.25944079056602454)","(0.4533333333333333, 0.20086124089838261)",1,"[10.844525558000896, 10.489334430953022, 10.288484760938445, 10.335179130954202, 10.143849708081689, 10.044963809021283, 10.638175369036617, 10.633621197193861, 10.463106204959331, 10.595946941961301, 10.050206101994263, 10.901378956041299, 10.183521948056296, 10.47779424500186, 10.27133949304698]","[2.159357114986051, 1.0334370939817745, 1.2458802099863533, 0.5896257749991491, 1.7514128100010566, 1.4134990269958507, 1.5315975709818304, 1.3113789570052177, 3.741418638994219, 8.624596901994664, 10.156577093002852, 11.372382884001127, 1.273635416990146, 1.0314680819865316, 1.3775928060058504]"
"(0.08666666666666667, 0.22318047362958038)","(0.9066666666666666, 0.25485756993344527)","(0.6166666666666667, 0.26502470684465484)","(0.5566666666666666, 0.19876104341885603)",2,"[10.564207062037895, 10.344271819922142, 10.649965954071376, 10.74709414888639, 10.443885958957253, 10.241065201058518, 10.46482365601696, 10.861913092288887, 10.234140800108435, 10.75211956090061, 10.669039704866009, 11.309707957989303, 11.06470744003309, 10.706748698023148, 10.793630521162413]","[1.2078562170208897, 1.0176769999961834, 1.3367065580096096, 0.587182584014954, 1.739780577016063, 1.4106320689897984, 1.5465862799901515, 1.3100177960004658, 3.036758178001037, 10.074657930003013, 8.681169064017013, 15.278445074014599, 1.1458883510204032, 1.0691791419812944, 1.3468102430051658]"
"(0.19333333333333333, 0.3514595418021959)","(0.9333333333333333, 0.2581988897471611)","(0.5933333333333334, 0.2610874693788782)","(0.5783333333333334, 0.22177584135681644)",3,"[10.355303264921531, 10.488581020064885, 10.493638151936466, 10.421804629877442, 11.366425801883452, 10.54992054196191, 10.53466800096794, 11.561411189002683, 11.062443397153402, 11.187145110074198, 11.196487942070235, 11.260261291958159, 11.212513621954713, 10.637433368043276, 10.740284049912589]","[1.2556194720091298, 1.0100046720181126, 1.3179289910185616, 0.5880259800178465, 1.8961557520087808, 1.4162480749946553, 1.5546223229903262, 1.3160942530084867, 3.0486635669949464, 9.133973105985206, 9.893654433981283, 15.273163051984739, 1.0353432150150184, 1.140234608988976, 1.3436115669901483]"
"(0.22666666666666668, 0.3369329451445933)","(0.92, 0.2596701204000403)","(0.6766666666666666, 0.28900486072695997)","(0.625, 0.2263846284534354)",4,"[11.364218903006986, 10.80131830702885, 10.81874695100123, 11.359427788003813, 11.387786110019078, 11.448436407954432, 10.845789029001025, 12.104685528960545, 11.69501937291352, 12.21030457210145, 11.621365059108939, 11.845236039080191, 11.108839037071448, 11.836296721041435, 10.957470120105427]","[1.2624224800092634, 0.9190875529893674, 1.2952151219942607, 0.5943798729858827, 0.8264296230045147, 1.4126602149917744, 1.5290796310000587, 1.3180692039895803, 3.0462578570004553, 9.21922367598745, 10.008754163020058, 11.193540246982593, 1.071586865989957, 1.0009579909965396, 1.3400616649887525]"
"(0.24, 0.3439269025326665)","(0.92, 0.2569046515733026)","(0.6566666666666666, 0.26245180963550696)","(0.6183333333333333, 0.22129220071036868)",5,"[11.823545698018279, 11.165757778042462, 11.145839067117777, 11.31658737701946, 11.204052927962039, 11.34658424303052, 11.977459484012797, 11.30709918102366, 10.593348584952764, 11.529155234951759, 12.29347482099547, 10.691122985008406, 11.350070249929558, 11.548754115967313, 12.288734281086363]","[1.2853905830124859, 1.0592465109948535, 1.297847426001681, 0.6031939259846695, 2.335464656003751, 1.4140451769926585, 1.5283197139797267, 1.33289368901751, 3.0413957280106843, 9.125426138023613, 9.896855568018509, 11.467110092984512, 1.0460786189942155, 1.0456481669971254, 1.3710823210130911]"
