,budget,high_margin,low_margin,other,total,time,time_defense
0,1,"(0.07333333333333333, 0.20165977949672229)","(0.8266666666666667, 0.347371079203014)","(0.45, 0.312821263435117)","(0.45, 0.24640269015229058)","(227.25871074560953, 5.720705487650722)","(10.654078117067305, 15.528412389010818)"
1,2,"(0.30666666666666664, 0.3283436063174123)","(0.8666666666666667, 0.3518657752744984)","(0.59, 0.3117920552456167)","(0.5883333333333334, 0.2596128069333436)","(405.5485669523866, 15.695621938280683)","(10.291231081666774, 15.02281184608268)"
2,3,"(0.3333333333333333, 0.3109126351029605)","(0.8666666666666667, 0.3518657752744984)","(0.6466666666666666, 0.29183328574147716)","(0.6233333333333333, 0.26583202716502513)","(562.3196082816672, 27.26864161570572)","(10.224858977665038, 13.964647886858465)"
3,4,"(0.31333333333333335, 0.327035748737628)","(0.8666666666666667, 0.3518657752744984)","(0.7166666666666667, 0.3114864515894865)","(0.6533333333333333, 0.27804590234262366)","(725.0053338412157, 38.668385191283704)","(10.215254504668216, 14.65390937955314)"
4,5,"(0.35333333333333333, 0.34406533155921476)","(0.8666666666666667, 0.3518657752744984)","(0.7066666666666667, 0.31445341845963826)","(0.6583333333333333, 0.2890357532670771)","(891.8135297169268, 41.961618594072384)","(9.339156097868303, 12.006791610164704)"
