budget,high_margin,low_margin,other,total,time,time_defense
1,"(0.013333333333333334, 0.035186577527449844)","(0.4666666666666667, 0.21930626551751342)","(0.1, 0.08017837257372731)","(0.16999999999999998, 0.08302323254883023)","(0.08141955270742376, 0.04430762896958417)","(3.4060772423011563, 3.982009831827957)"
2,"(0.1, 0.1647508942095828)","(0.58, 0.19346465162548798)","(0.2966666666666667, 0.14326133296814436)","(0.31833333333333336, 0.12972039528301227)","(0.18915987835886577, 0.016496311611086462)","(3.1486206020849448, 3.7700098364270507)"
3,"(0.07333333333333333, 0.14375905768565217)","(0.56, 0.2720294101747089)","(0.26666666666666666, 0.16438920136009397)","(0.2916666666666667, 0.1374729410604484)","(0.3235452885584285, 0.022417317755800067)","(3.068385336672266, 3.6535647177649384)"
4,"(0.006666666666666667, 0.025819888974716113)","(0.58, 0.2569046515733026)","(0.3333333333333333, 0.14840420992616593)","(0.31333333333333335, 0.11682811957662215)","(0.5088962660947194, 0.050551038589150936)","(3.199973831217115, 3.7844640876892375)"
5,"(0.02666666666666667, 0.04577377082170635)","(0.5933333333333334, 0.23441924185608345)","(0.32666666666666666, 0.1730675618143994)","(0.31833333333333336, 0.12623202370842276)","(0.803688723873347, 0.0800957553372608)","(3.2272490232096365, 3.848479943908362)"
