budget,high_margin,low_margin,other,total,time,time_defense
1,"(0.02, 0.041403933560541256)","(0.8266666666666667, 0.26583202716502513)","(0.3, 0.18027756377319948)","(0.3616666666666667, 0.14573295865416044)","(84.87557846398171, 2.4109820051877606)","(4.084039511401595, 3.9051982202340474)"
2,"(0.06, 0.10555973258234952)","(0.84, 0.26131535409484513)","(0.5466666666666666, 0.2175075258687014)","(0.49833333333333335, 0.16076454240670762)","(85.9693630862205, 1.8775155854826566)","(3.852589409732415, 3.8434359079067897)"
3,"(0.07333333333333333, 0.1162919151265879)","(0.8533333333333334, 0.26149751888106393)","(0.5766666666666667, 0.22824381283013587)","(0.52, 0.16881943016134132)","(86.09597684233061, 1.3309613248505412)","(3.8584352931318184, 4.150585756275165)"
4,"(0.06666666666666667, 0.08997354108424375)","(0.88, 0.2569046515733026)","(0.61, 0.21892594964638482)","(0.5416666666666666, 0.16438920136009397)","(86.00244159719053, 1.3266545908169503)","(3.683239262541368, 3.86795987888316)"
5,"(0.06666666666666667, 0.09759000729485333)","(0.8266666666666667, 0.2914659173083209)","(0.63, 0.21530708965833628)","(0.5383333333333333, 0.1679356452703861)","(85.93823158691715, 1.5952521522204128)","(3.5844144581933506, 3.7981921556427385)"
