high_margin,low_margin,other,total,budget,time,time_defense
"(0.12, 0.3028436654683167)","(0.86, 0.27464262493023806)","(0.47333333333333333, 0.2744258074772193)","(0.4816666666666667, 0.22189658681037713)",1,"[3.2846815349766985, 3.248339199955808, 3.249242451012833, 3.547262106934795, 3.547389893064974, 3.548095490928972, 3.3428444000310265, 3.340040463983314, 3.3433661169256084, 3.2477144688891713, 3.246521068009315, 3.2484096699627116, 3.2446983070112765, 3.2467755020188633, 3.246635831950698]","[2.6412518600118347, 1.0025941919884644, 1.3951999749988317, 0.5809550849953666, 0.8154666440095752, 1.3905674660054501, 1.5037357780092862, 1.2905470590048935, 3.632266810978763, 9.627381808997598, 10.473384928976884, 15.237741720018676, 1.1628913609893061, 1.1218959499965422, 1.2524140759778675]"
"(0.21333333333333332, 0.36813558578845584)","(0.8133333333333334, 0.339887936714161)","(0.6066666666666667, 0.22902484789293268)","(0.56, 0.2050261307387775)",2,"[6.474797856120858, 6.474035733175697, 6.473119793110527, 7.076876164006535, 7.078093761985656, 7.078525016957428, 6.663822834088933, 6.661556663049851, 6.6621663479018025, 6.47501281107543, 6.473599591030506, 6.480177178920712, 6.472025668103015, 6.473927073937375, 6.473558114026673]","[1.2485335929959547, 0.9919796120084357, 1.2241214560053777, 0.5767985269776545, 0.8283101359847933, 1.3905443400144577, 1.5048803569807205, 1.2914728530158754, 3.631786089972593, 9.105047641001875, 9.606756128021516, 11.51194915198721, 1.1599958050064743, 1.0138900949968956, 1.3227809420204721]"
"(0.2733333333333333, 0.35550098787619755)","(0.8533333333333334, 0.27740292167239505)","(0.6766666666666666, 0.2534523529938028)","(0.62, 0.21859943798124068)",3,"[9.699716386967339, 9.70075916798669, 9.708305735868635, 10.60562171798665, 10.605909755104221, 10.604473133949796, 9.98177017303533, 9.980272829066962, 9.982326184894191, 9.701058648963226, 9.70129085201188, 9.716365982982097, 9.701990598987322, 9.702666501922067, 9.704137865104713]","[1.2042644890025258, 1.0456753249745816, 1.322866097005317, 0.576530042977538, 1.6348693770123646, 1.388096934009809, 1.5012254640168976, 1.2872039689973462, 3.6225145329954103, 9.122923054004787, 10.14004301300156, 11.45487882301677, 1.0407573489937931, 1.017647319007665, 1.3206280669837724]"
"(0.31333333333333335, 0.2996823715361379)","(0.8866666666666667, 0.30441200151548997)","(0.6433333333333333, 0.2562550812504343)","(0.6216666666666667, 0.22714585203176857)",4,"[12.929661255853716, 12.926286817906657, 12.926871540927095, 14.145773484924575, 14.143868271115934, 14.143890343024395, 13.306963606039062, 13.30700698599685, 13.308657153887907, 12.928397373878397, 12.92691660305718, 12.944086083007278, 12.930825821938924, 12.928077673132066, 12.926820150023559]","[1.2067195620038547, 0.9943507760181092, 1.240437338972697, 0.5766262869874481, 1.3803776519780513, 1.389302769995993, 1.5023919770028442, 1.2890882439969573, 3.6353966910101008, 10.078248070989503, 10.40307174102054, 11.921609696000814, 1.0727848240057938, 1.0546744180028327, 1.4353511280205566]"
"(0.35333333333333333, 0.3335237551331168)","(0.8866666666666667, 0.27996598432836867)","(0.7233333333333334, 0.25555728087754376)","(0.6716666666666666, 0.241066578434455)",5,"[16.14909908096888, 16.147147717914777, 16.149830228096107, 17.67403542602551, 17.67480455801706, 17.67683946606121, 16.629714445007266, 16.62754163396312, 16.631142805912532, 16.15860021710978, 16.156326352094766, 16.149227015994256, 16.146734705980634, 16.148277713888092, 16.14639825699851]","[1.2646074589865748, 0.9931133260251954, 1.2396044950000942, 0.5770413450081833, 1.4711594129912555, 1.388225431990577, 1.50203784101177, 1.2885813929897267, 2.999625972996, 9.122655936022056, 9.714006263006013, 12.864929523988394, 1.0238865049905144, 1.0557544619950932, 1.327918481983943]"
