budget,high_margin,low_margin,other,total,time,time_defense
1,"(0.12666666666666668, 0.3172801075810878)","(0.88, 0.27825989906663057)","(0.47333333333333333, 0.30229282555322473)","(0.48833333333333334, 0.24051037003679923)","(118.34312956761957, 2.067525075361436)","(3.847034948063083, 3.9900510054046747)"
2,"(0.26, 0.3699420804087349)","(0.9266666666666666, 0.25764501233470904)","(0.51, 0.23006210341681965)","(0.5516666666666666, 0.1994337221329671)","(155.2596936218324, 3.296017153901398)","(3.798769704341733, 3.8220509637399696)"
3,"(0.22, 0.33848401523768973)","(0.8933333333333333, 0.25203930154602777)","(0.6233333333333333, 0.24338877385388022)","(0.59, 0.21851773383412157)","(192.9898214455888, 4.15766875646649)","(3.7327322890089514, 4.042242705155164)"
4,"(0.24, 0.3089151524748688)","(0.9333333333333333, 0.2581988897471611)","(0.6566666666666666, 0.2389460987236203)","(0.6216666666666667, 0.21273446448789715)","(228.5666211092185, 7.317402987916954)","(3.6222906291329613, 3.5212119039507246)"
5,"(0.24, 0.3268901082277389)","(0.92, 0.2569046515733026)","(0.69, 0.27593995205996746)","(0.635, 0.23006210341681968)","(270.9081964278827, 8.298113161366617)","(3.9314292070649874, 4.468701631319623)"
